# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	Ku1 (J/m3)
0	-7.8216544e-11	9.458745e-11	-0.99999297	0	0	-0.14999999	715555.56
0	-6.366463e-11	-5.0931703e-11	-0.9999927	0	0	-0.14	715555.56
0	-7.094059e-11	-7.275958e-12	-0.9999925	0	0	-0.13	715555.56
0	-9.913492e-11	-2.1827873e-11	-0.99999225	0	0	-0.12	715555.56
0	-1.3278623e-10	1.4551915e-11	-0.99999195	0	0	-0.11000001	715555.56
0	-1.09139364e-10	4.3655746e-11	-0.9999917	0	0	-0.10000001	715555.56
0	-9.0039975e-11	1.4551915e-11	-0.9999915	0	0	-0.09	715555.56
0	-1.4370016e-10	4.3655746e-11	-0.99999106	0	0	-0.07999999	715555.56
0	-1.1550583e-10	1.4551915e-11	-0.9999908	0	0	-0.07	715555.56
0	-1.0095391e-10	-1.4551915e-11	-0.99999046	0	0	-0.06	715555.56
0	-1.1277734e-10	9.458745e-11	-0.99999005	0	0	-0.050000004	715555.56
0	-1.3096724e-10	-1.4551915e-11	-0.9999896	0	0	-0.039999995	715555.56
0	-1.1277734e-10	0	-0.9999892	0	0	-0.03	715555.56
0	-1.9281288e-10	1.3096724e-10	-0.99998873	0	0	-0.019999998	715555.56
0	-1.9463187e-10	1.0186341e-10	-0.9999882	0	0	-0.009999999	715555.56
0	-1.373337e-10	0	-0.9999877	0	0	0	715555.56
0	-1.4097168e-10	1.4551915e-10	-0.99998695	0	0	0.009999999	715555.56
0	-2.064553e-10	1.7462298e-10	-0.99998635	0	0	0.019999998	715555.56
0	-1.364242e-10	-1.4551915e-11	-0.99998564	0	0	0.03	715555.56
0	-2.1555024e-10	2.0372681e-10	-0.9999848	0	0	0.039999995	715555.56
0	-2.1918822e-10	1.7462298e-10	-0.9999839	0	0	0.050000004	715555.56
0	-2.1100277e-10	-8.731149e-11	-0.9999829	0	0	0.06	715555.56
0	-2.055458e-10	-1.4551915e-11	-0.99998176	0	0	0.07	715555.56
0	-2.4556357e-10	1.1641532e-10	-0.9999805	0	0	0.07999999	715555.56
0	-3.3469405e-10	1.1641532e-10	-0.9999791	0	0	0.09	715555.56
0	-4.8930815e-10	3.2014214e-10	-0.99997735	0	0	0.10000001	715555.56
0	-5.657057e-10	3.4924597e-10	-0.9999754	0	0	0.11000001	715555.56
0	-7.221388e-10	4.947651e-10	-0.99997306	0	0	0.12	715555.56
